external_stratum,external_conflict_scope,external_N_quantile,external_N_hunk_pairs,external_expected_overlap_pairs_point,external_expected_overlap_pairs_low,external_expected_overlap_pairs_high,p_nominal,target_tau_at_external_point,nearest_sampled_tau,nearest_sampled_cell_id,nearest_sampled_model_expected_overlap_pairs,nearest_sampled_position,overlap_pairs_per_time_n,overlap_pairs_per_time_mean,overlap_pairs_per_time_ci95_low,overlap_pairs_per_time_ci95_high,first_failures_per_time_n,first_failures_per_time_mean,first_failures_per_time_ci95_low,first_failures_per_time_ci95_high,mean_first_failure_overlap_lines_n,mean_first_failure_overlap_lines_mean,mean_first_failure_overlap_lines_ci95_low,mean_first_failure_overlap_lines_ci95_high
same,structural-inclusive textual conflict,median,59,0.220238734488,0.183763161724,0.263035061346,0.00343506381915,8.00717732496,8,cc3faf54a13c1e38,0.219844084426,inside interval,30,0.15,0.1406727581390446,0.1593272418609554,30,0.14375,0.13538391158099397,0.152116088419006,30,2.2997134982638032,2.226605133222788,2.3728218633048184
same,structural-inclusive textual conflict,median,59,0.220238734488,0.183763161724,0.263035061346,0.0155623181419,3.76192130826,2,8e389ad71c19e48e,0.0622492725676,below interval,30,0.18333333333333332,0.17129788583322858,0.19536878083343806,30,0.17682291666666666,0.165580557318732,0.18806527601460132,30,8.295686459961672,8.032224803940673,8.559148115982671
same,structural-inclusive textual conflict,median,59,0.220238734488,0.183763161724,0.263035061346,0.0687233214314,1.7901720861,2,0573c77147ccd4ce,0.274893285726,above interval,30,0.8173177083333333,0.7909723625790378,0.8436630540876288,30,0.6697916666666667,0.654050719828642,0.6855326135046913,30,36.68429052347245,36.24424734206571,37.124333704879184
same,conflict with any content component,median,59,0.195734021143,0.161739819109,0.236054871404,0.00343506381915,7.54858855199,8,cc3faf54a13c1e38,0.219844084426,inside interval,30,0.15,0.1406727581390446,0.1593272418609554,30,0.14375,0.13538391158099397,0.152116088419006,30,2.2997134982638032,2.226605133222788,2.3728218633048184
same,conflict with any content component,median,59,0.195734021143,0.161739819109,0.236054871404,0.0155623181419,3.54646774619,2,8e389ad71c19e48e,0.0622492725676,below interval,30,0.18333333333333332,0.17129788583322858,0.19536878083343806,30,0.17682291666666666,0.165580557318732,0.18806527601460132,30,8.295686459961672,8.032224803940673,8.559148115982671
same,conflict with any content component,median,59,0.195734021143,0.161739819109,0.236054871404,0.0687233214314,1.68764496736,2,0573c77147ccd4ce,0.274893285726,above interval,30,0.8173177083333333,0.7909723625790378,0.8436630540876288,30,0.6697916666666667,0.654050719828642,0.6855326135046913,30,36.68429052347245,36.24424734206571,37.124333704879184
same,content-only conflict,median,59,0.158106864538,0.128153899149,0.194395378059,0.00343506381915,6.7843455202,8,cc3faf54a13c1e38,0.219844084426,above interval,30,0.15,0.1406727581390446,0.1593272418609554,30,0.14375,0.13538391158099397,0.152116088419006,30,2.2997134982638032,2.226605133222788,2.3728218633048184
same,content-only conflict,median,59,0.158106864538,0.128153899149,0.194395378059,0.0155623181419,3.18741211032,2,8e389ad71c19e48e,0.0622492725676,below interval,30,0.18333333333333332,0.17129788583322858,0.19536878083343806,30,0.17682291666666666,0.165580557318732,0.18806527601460132,30,8.295686459961672,8.032224803940673,8.559148115982671
same,content-only conflict,median,59,0.158106864538,0.128153899149,0.194395378059,0.0687233214314,1.51678244153,2,0573c77147ccd4ce,0.274893285726,above interval,30,0.8173177083333333,0.7909723625790378,0.8436630540876288,30,0.6697916666666667,0.654050719828642,0.6855326135046913,30,36.68429052347245,36.24424734206571,37.124333704879184
cross,structural-inclusive textual conflict,median,2972,0.540190410547,0.402485316044,0.710739645107,0.00343506381915,12.5402452505,8,cc3faf54a13c1e38,0.219844084426,below interval,30,0.15,0.1406727581390446,0.1593272418609554,30,0.14375,0.13538391158099397,0.152116088419006,30,2.2997134982638032,2.226605133222788,2.3728218633048184
