cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,completed_attempts_n,completed_attempts_mean,completed_attempts_ci95_low,completed_attempts_ci95_high,failed_attempts_n,failed_attempts_mean,failed_attempts_ci95_low,failed_attempts_ci95_high,initial_conflicts_landed_mean,initial_conflicts_landed_fraction,completed_attempt_failure_fraction,nominal_exposure,nominal_failure_probability,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
02b20d8006444bf2,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,0.0,0.0,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,33.1,31.187087458662944,35.01291254133706,30,33.1,31.187087458662944,35.01291254133706,30,0,0.0,0.0,33.1,1.0,0.0,0.25,0.0025729820571334544,,,not identified from marginal aggregates
3707cb5b5d32215d,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,24.25961720674626,0.25,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,113.53333333333333,111.58750255704221,115.47916410962445,30,122.93333333333334,121.52079059197342,124.34587607469325,30,12.4,11.02013747144828,13.779862528551721,110.53333333333333,0.9735760422783324,0.10086767895878525,24.50961720674626,0.22320305736951937,,,not identified from marginal aggregates
87fe399ab241af87,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,48.51923441349252,0.5,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,53.06666666666667,51.57210280583649,54.56123052749685,30,61.46666666666667,60.7714224387881,62.16191089454524,30,11.4,10.297647072389475,12.502352927610525,50.06666666666667,0.9434673366834171,0.18546637744034708,48.76923441349252,0.3950299327919085,,,not identified from marginal aggregates
cfc00d9707027260,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,97.03846882698504,1.0,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,23.1,22.108354253094223,24.09164574690578,30,30.566666666666666,30.206566127278798,30.926767206054535,30,10.466666666666667,9.518809102638281,11.414524230695053,20.1,0.8701298701298701,0.3424209378407852,97.28846882698504,0.6330671060298801,,,not identified from marginal aggregates
da826101a53572f3,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,194.07693765397008,2.0,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,9.633333333333333,8.84999069704717,10.416675969619495,30,14.9,14.755939348660476,15.044060651339525,30,8.266666666666667,7.475192713110969,9.058140620222366,6.633333333333333,0.6885813148788927,0.5548098434004475,194.32693765397008,0.8650129320188522,,,not identified from marginal aggregates
de6fe7be801f0b4c,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,388.15387530794015,4.0,3105.2310024635212,dispatch,fixed,0.25,1.0,8,256,30,4.133333333333334,3.82545526621169,4.441211400454978,30,6.966666666666667,6.9013333333333335,7.032,30,5.833333333333333,5.520475783091542,6.146190883575124,1.1333333333333337,0.27419354838709686,0.8373205741626794,388.40387530794015,0.9817314869214915,,,not identified from marginal aggregates
d8d14b4e07c89637,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,0.0,0.0,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,33.1,31.187087458662944,35.01291254133706,30,33.1,31.187087458662944,35.01291254133706,30,0,0.0,0.0,33.1,1.0,0.0,0.25,0.0025729820571334544,,,not identified from marginal aggregates
8c1d6df6dd5658a5,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,24.25961720674626,0.25,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,125.63333333333334,124.14009957228515,127.12656709438153,30,122.93333333333334,121.52079059197342,124.34587607469325,30,0.3,0.10855876325504793,0.49144123674495205,122.63333333333334,0.976120986999204,0.002440347071583514,0.25,0.0025729820571334544,,,not identified from marginal aggregates
3fcd2dbee09e2e1b,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,48.51923441349252,0.5,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,64.36666666666666,63.67301205498552,65.0603212783478,30,61.46666666666667,60.7714224387881,62.16191089454524,30,0.1,-0.009188858848106482,0.2091888588481065,61.36666666666667,0.9533920248575869,0.0016268980477223427,0.25,0.0025729820571334544,,,not identified from marginal aggregates
cfc9652c78eaf652,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,97.03846882698504,1.0,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,33.5,33.139082905052575,33.860917094947425,30,30.566666666666666,30.206566127278798,30.926767206054535,30,0.06666666666666667,-0.024121622280541086,0.1574549556138744,30.5,0.9104477611940298,0.0021810250817884407,0.25,0.0025729820571334544,,,not identified from marginal aggregates
