bartender_cell_id,in_place_cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,bartender_author_repair_starts_n,bartender_author_repair_starts_mean,bartender_author_repair_starts_ci95_low,bartender_author_repair_starts_ci95_high,in_place_author_repair_starts_n,in_place_author_repair_starts_mean,in_place_author_repair_starts_ci95_low,in_place_author_repair_starts_ci95_high,paired_author_repair_starts_n,paired_author_repair_starts_mean,paired_author_repair_starts_ci95_low,paired_author_repair_starts_ci95_high,in_place_over_bartender_author_repair_starts,bartender_observed_repair_effort_n,bartender_observed_repair_effort_mean,bartender_observed_repair_effort_ci95_low,bartender_observed_repair_effort_ci95_high,in_place_observed_repair_effort_n,in_place_observed_repair_effort_mean,in_place_observed_repair_effort_ci95_low,in_place_observed_repair_effort_ci95_high,paired_observed_repair_effort_n,paired_observed_repair_effort_mean,paired_observed_repair_effort_ci95_low,paired_observed_repair_effort_ci95_high,in_place_over_bartender_observed_repair_effort
6dc14a7b45256e3b,107cb34499bef5ac,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,0.9,0.5697484066010752,1.2302515933989249,30,0.9,0.5697484066010752,1.2302515933989249,30,0,0.0,0.0,1.0,30,1.47,0.9234575167683563,2.0165424832316434,30,1.47,0.9234575167683563,2.0165424832316434,30,0.0,0.0,0.0,1.0
5cfb483de3e66b01,4d4b3e83f81b4e48,0,clean_first,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,4.633333333333334,3.7344932463792033,5.532173420287465,30,4.6,3.730542565800339,5.4694574341996605,30,0.03333333333333333,-0.031999999999999994,0.09866666666666665,0.9928057553956833,30,7.319166666666667,5.866304042588105,8.772029290745229,30,7.27875,5.862609196487311,8.694890803512688,30,0.04041666666666674,-0.06265941193029595,0.14349274526362943,0.99447796880337
79f1be31c0a50145,7628ae747536e63e,0,clean_first,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,17.9,16.57315692272065,19.226843077279348,30,19.066666666666666,17.505628481816792,20.62770485151654,30,-1.1666666666666667,-1.6557270684866796,-0.6776062648466539,1.0651769087523277,30,29.586770833333336,27.29879167843639,31.87474998823028,30,31.443541666666672,28.743962496397845,34.1431208369355,30,-1.8567708333333337,-2.719683781705596,-0.9938578849610715,1.0627567923445516
3a21c8a4cd992bd8,89610ef2e95ee923,1,clean_first,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,4.866666666666666,4.146465587890932,5.586867745442401,30,4.966666666666667,4.241881841945844,5.69145149138749,30,-0.1,-0.2091888588481065,0.009188858848106482,1.0205479452054795,30,8.511666666666667,7.213566329849653,9.80976700348368,30,8.543333333333333,7.250490201679251,9.836176464987416,30,-0.03166666666666673,-0.25087603980575185,0.18754270647241839,1.003720383786959
113039f88ca6a69d,c263876e807e2076,1,clean_first,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,24.366666666666667,22.509663288131044,26.22367004520229,30,26.933333333333334,24.65275753724897,29.213909129417697,30,-2.566666666666667,-3.2865611246612683,-1.8467722086720655,1.1053351573187415,30,41.17541666666666,38.060943565947156,44.28988976738617,30,45.44,41.609147973481555,49.27085202651844,30,-4.264583333333334,-5.637224891907076,-2.8919417747595926,1.1035711033080013
a7bcd6b772a6a811,b0464d919c2580c4,1,clean_first,4,0.0,0.0,64,0.06872332143144783,0.20616996429434348,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,100.7,96.53727668715415,104.86272331284586,30,281.06666666666666,199.9206351152938,362.2126982180395,30,-180.36666666666667,-261.14507801913356,-99.58825531419978,2.7911287653095003,30,176.48166666666665,168.88353513820252,184.0797981951308,30,2136.9153125000007,524.1250913418037,3749.705533658198,30,-1960.4336458333341,-3572.2594836355797,-348.60780803108855,12.108426630717076
7b024b4f0036c201,f1dc77fe76050b76,2,clean_first,8,0.0,0.0,4,0.003435063819150432,0.024045446734053025,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,22.266666666666666,20.345500418058993,24.18783291527434,30,25.6,23.298864168515358,27.901135831484645,30,-3.3333333333333335,-4.110166476164383,-2.556500190502284,1.1497005988023954,30,43.626666666666665,39.93791088262112,47.31542245071221,30,49.52,44.83517772306817,54.204822276931836,30,-5.893333333333334,-7.785291119388446,-4.001375547278223,1.1350855745721273
bea40c5d347d124a,ea3615ffc4e53f2e,2,clean_first,8,0.0,0.0,16,0.01556231814190527,0.1089362269933369,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,100.36666666666666,96.00570569133652,104.7276276419968,30,456.7,343.38313142748575,570.0168685725142,30,-356.3333333333333,-467.6689854366557,-244.99768123001093,4.55031550979741,30,191.64333333333335,182.73147625214767,200.55519041451902,30,7154.420833333338,4164.631418175317,10144.21024849136,30,-6962.777500000005,-9948.705010846223,-3976.849989153787,37.331957803558716
4d025dfd055b3c03,523d119590d3a36b,2,clean_first,8,0.0,0.0,64,0.06872332143144783,0.4810632500201348,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,395.3,385.3085067630785,405.2914932369215,30,1004.3666666666667,1002.5578448787239,1006.1754884546094,30,-609.0666666666667,-618.6916017037167,-599.4417316296167,2.540770722657897,30,839.575,806.349769319788,872.800230680212,30,24166.539583333357,24012.51495552193,24320.564211144785,30,-23326.964583333356,-23478.904998116588,-23175.024168550124,28.784253441721532
9bcf7cc1b5afb144,d206503f1cf63d8e,3,clean_first,4,0.1,0.0,4,0.003435063819150432,0.010305191457451296,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,4.866666666666666,4.146465587890932,5.586867745442401,30,728.6666666666666,616.1938448958579,841.1394884374754,30,-723.8,-836.4030122199734,-611.1969877800265,149.72602739726028,30,8.511666666666667,7.213566329849653,9.80976700348368,30,728.94,616.9569144205549,840.9230855794452,30,-720.4283333333334,-832.5589854058331,-608.2976812608337,85.64010182102996
