bartender_cell_id,in_place_cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,bartender_author_repair_starts_n,bartender_author_repair_starts_mean,bartender_author_repair_starts_ci95_low,bartender_author_repair_starts_ci95_high,in_place_author_repair_starts_n,in_place_author_repair_starts_mean,in_place_author_repair_starts_ci95_low,in_place_author_repair_starts_ci95_high,paired_author_repair_starts_n,paired_author_repair_starts_mean,paired_author_repair_starts_ci95_low,paired_author_repair_starts_ci95_high,in_place_over_bartender_author_repair_starts,bartender_observed_repair_effort_n,bartender_observed_repair_effort_mean,bartender_observed_repair_effort_ci95_low,bartender_observed_repair_effort_ci95_high,in_place_observed_repair_effort_n,in_place_observed_repair_effort_mean,in_place_observed_repair_effort_ci95_low,in_place_observed_repair_effort_ci95_high,paired_observed_repair_effort_n,paired_observed_repair_effort_mean,paired_observed_repair_effort_ci95_low,paired_observed_repair_effort_ci95_high,in_place_over_bartender_observed_repair_effort
3a21c8a4cd992bd8,89610ef2e95ee923,1,clean_first,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,4.866666666666666,4.146465587890932,5.586867745442401,30,4.966666666666667,4.241881841945844,5.69145149138749,30,-0.1,-0.2091888588481065,0.009188858848106482,1.0205479452054795,30,8.511666666666667,7.213566329849653,9.80976700348368,30,8.543333333333333,7.250490201679251,9.836176464987416,30,-0.03166666666666673,-0.25087603980575185,0.18754270647241839,1.003720383786959
113039f88ca6a69d,c263876e807e2076,1,clean_first,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,24.366666666666667,22.509663288131044,26.22367004520229,30,26.933333333333334,24.65275753724897,29.213909129417697,30,-2.566666666666667,-3.2865611246612683,-1.8467722086720655,1.1053351573187415,30,41.17541666666666,38.060943565947156,44.28988976738617,30,45.44,41.609147973481555,49.27085202651844,30,-4.264583333333334,-5.637224891907076,-2.8919417747595926,1.1035711033080013
a7bcd6b772a6a811,b0464d919c2580c4,1,clean_first,4,0.0,0.0,64,0.06872332143144783,0.20616996429434348,1.0,0.0,,256.0,start,fixed,0.25,1.0,8,256,30,100.7,96.53727668715415,104.86272331284586,30,281.06666666666666,199.9206351152938,362.2126982180395,30,-180.36666666666667,-261.14507801913356,-99.58825531419978,2.7911287653095003,30,176.48166666666665,168.88353513820252,184.0797981951308,30,2136.9153125000007,524.1250913418037,3749.705533658198,30,-1960.4336458333341,-3572.2594836355797,-348.60780803108855,12.108426630717076
