figure,axes_index,panel,series,point_index,cell_id,source_metrics,source_components_json,observations_sha256,metadata_sha256,formula,x_definition,x,y,ci95_low,ci95_high,line_style,marker,x_axis_scale,y_axis_scale
fig4_repairs_overlap,1,agents=2;dependency=0;metric=observed_repair_effort,In-place repair,2,7628ae747536e63e,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""34.1431208369355"",""ci95_low"":""28.743962496397845"",""mean"":""31.443541666666672"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,31.443541666666672,28.743962496397845,34.1431208369355,--,s,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,Bartender,0,3a21c8a4cd992bd8,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""5.586867745442401"",""ci95_low"":""4.146465587890932"",""mean"":""4.866666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,4.866666666666666,4.146465587890932,5.586867745442401,-,o,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,Bartender,1,113039f88ca6a69d,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""26.22367004520229"",""ci95_low"":""22.509663288131044"",""mean"":""24.366666666666667"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,24.366666666666667,22.509663288131044,26.22367004520229,-,o,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,Bartender,2,a7bcd6b772a6a811,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""104.86272331284586"",""ci95_low"":""96.53727668715415"",""mean"":""100.7"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,100.7,96.53727668715415,104.86272331284586,-,o,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,In-place repair,0,89610ef2e95ee923,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""5.69145149138749"",""ci95_low"":""4.241881841945844"",""mean"":""4.966666666666667"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,4.966666666666667,4.241881841945844,5.69145149138749,--,s,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,In-place repair,1,c263876e807e2076,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""29.213909129417697"",""ci95_low"":""24.65275753724897"",""mean"":""26.933333333333334"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,26.933333333333334,24.65275753724897,29.213909129417697,--,s,log,log
fig4_repairs_overlap,2,agents=4;dependency=0;metric=author_repair_starts,In-place repair,2,b0464d919c2580c4,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""362.2126982180395"",""ci95_low"":""199.9206351152938"",""mean"":""281.06666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,281.06666666666666,199.9206351152938,362.2126982180395,--,s,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,Bartender,0,3a21c8a4cd992bd8,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""9.80976700348368"",""ci95_low"":""7.213566329849653"",""mean"":""8.511666666666667"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,8.511666666666667,7.213566329849653,9.80976700348368,-,o,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,Bartender,1,113039f88ca6a69d,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""44.28988976738617"",""ci95_low"":""38.060943565947156"",""mean"":""41.17541666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,41.17541666666666,38.060943565947156,44.28988976738617,-,o,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,Bartender,2,a7bcd6b772a6a811,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""184.0797981951308"",""ci95_low"":""168.88353513820252"",""mean"":""176.48166666666665"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,176.48166666666665,168.88353513820252,184.0797981951308,-,o,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,In-place repair,0,89610ef2e95ee923,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""9.836176464987416"",""ci95_low"":""7.250490201679251"",""mean"":""8.543333333333333"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,8.543333333333333,7.250490201679251,9.836176464987416,--,s,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,In-place repair,1,c263876e807e2076,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""49.27085202651844"",""ci95_low"":""41.609147973481555"",""mean"":""45.44"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,45.44,41.609147973481555,49.27085202651844,--,s,log,log
fig4_repairs_overlap,3,agents=4;dependency=0;metric=observed_repair_effort,In-place repair,2,b0464d919c2580c4,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""3749.705533658198"",""ci95_low"":""524.1250913418037"",""mean"":""2136.9153125000007"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,2136.9153125000007,524.1250913418037,3749.705533658198,--,s,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,Bartender,0,7b024b4f0036c201,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""24.18783291527434"",""ci95_low"":""20.345500418058993"",""mean"":""22.266666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,22.266666666666666,20.345500418058993,24.18783291527434,-,o,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,Bartender,1,bea40c5d347d124a,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""104.7276276419968"",""ci95_low"":""96.00570569133652"",""mean"":""100.36666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,100.36666666666666,96.00570569133652,104.7276276419968,-,o,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,Bartender,2,4d025dfd055b3c03,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""405.2914932369215"",""ci95_low"":""385.3085067630785"",""mean"":""395.3"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,395.3,385.3085067630785,405.2914932369215,-,o,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,In-place repair,0,f1dc77fe76050b76,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""27.901135831484645"",""ci95_low"":""23.298864168515358"",""mean"":""25.6"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,25.6,23.298864168515358,27.901135831484645,--,s,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,In-place repair,1,ea3615ffc4e53f2e,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""570.0168685725142"",""ci95_low"":""343.38313142748575"",""mean"":""456.7"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,456.7,343.38313142748575,570.0168685725142,--,s,log,log
fig4_repairs_overlap,4,agents=8;dependency=0;metric=author_repair_starts,In-place repair,2,523d119590d3a36b,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""1006.1754884546094"",""ci95_low"":""1002.5578448787239"",""mean"":""1004.3666666666667"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,1004.3666666666667,1002.5578448787239,1006.1754884546094,--,s,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,Bartender,0,7b024b4f0036c201,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""47.31542245071221"",""ci95_low"":""39.93791088262112"",""mean"":""43.626666666666665"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,43.626666666666665,39.93791088262112,47.31542245071221,-,o,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,Bartender,1,bea40c5d347d124a,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""200.55519041451902"",""ci95_low"":""182.73147625214767"",""mean"":""191.64333333333335"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,191.64333333333335,182.73147625214767,200.55519041451902,-,o,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,Bartender,2,4d025dfd055b3c03,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""872.800230680212"",""ci95_low"":""806.349769319788"",""mean"":""839.575"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,839.575,806.349769319788,872.800230680212,-,o,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,In-place repair,0,f1dc77fe76050b76,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""54.204822276931836"",""ci95_low"":""44.83517772306817"",""mean"":""49.52"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,49.52,44.83517772306817,54.204822276931836,--,s,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,In-place repair,1,ea3615ffc4e53f2e,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""10144.21024849136"",""ci95_low"":""4164.631418175317"",""mean"":""7154.420833333338"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,7154.420833333338,4164.631418175317,10144.21024849136,--,s,log,log
fig4_repairs_overlap,5,agents=8;dependency=0;metric=observed_repair_effort,In-place repair,2,523d119590d3a36b,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""24320.564211144785"",""ci95_low"":""24012.51495552193"",""mean"":""24166.539583333357"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,24166.539583333357,24012.51495552193,24320.564211144785,--,s,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,Bartender,0,9bcf7cc1b5afb144,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""5.586867745442401"",""ci95_low"":""4.146465587890932"",""mean"":""4.866666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,4.866666666666666,4.146465587890932,5.586867745442401,-,o,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,Bartender,1,c1e48e5eb9497be2,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""307.8922513441768"",""ci95_low"":""84.90774865582317"",""mean"":""196.4"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,196.4,84.90774865582317,307.8922513441768,-,o,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,Bartender,2,fb6e4c26cab7c963,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""497.49986486507885"",""ci95_low"":""257.6334684682545"",""mean"":""377.56666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,377.56666666666666,257.6334684682545,497.49986486507885,-,o,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,In-place repair,0,d206503f1cf63d8e,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""841.1394884374754"",""ci95_low"":""616.1938448958579"",""mean"":""728.6666666666666"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,728.6666666666666,616.1938448958579,841.1394884374754,--,s,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,In-place repair,1,1d1fd6cca77a8e65,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""844.9071329577993"",""ci95_low"":""624.3595337088674"",""mean"":""734.6333333333333"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,734.6333333333333,624.3595337088674,844.9071329577993,--,s,log,log
fig4_repairs_overlap,6,agents=4;dependency=0.1;metric=author_repair_starts,In-place repair,2,04cad7811894e33b,author_repair_starts,"{""author_repair_starts"":{""ci95_high"":""896.3477466257399"",""ci95_low"":""748.3189200409269"",""mean"":""822.3333333333334"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,822.3333333333334,748.3189200409269,896.3477466257399,--,s,log,log
fig4_repairs_overlap,7,agents=4;dependency=0.1;metric=observed_repair_effort,Bartender,0,9bcf7cc1b5afb144,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""9.80976700348368"",""ci95_low"":""7.213566329849653"",""mean"":""8.511666666666667"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,8.511666666666667,7.213566329849653,9.80976700348368,-,o,log,log
fig4_repairs_overlap,7,agents=4;dependency=0.1;metric=observed_repair_effort,Bartender,1,c1e48e5eb9497be2,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""319.9438038641081"",""ci95_low"":""100.24536280255859"",""mean"":""210.09458333333333"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.01556231814190527,210.09458333333333,100.24536280255859,319.9438038641081,-,o,log,log
fig4_repairs_overlap,7,agents=4;dependency=0.1;metric=observed_repair_effort,Bartender,2,fb6e4c26cab7c963,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""540.5967679689014"",""ci95_low"":""317.4219820310987"",""mean"":""429.00937500000003"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.06872332143144783,429.00937500000003,317.4219820310987,540.5967679689014,-,o,log,log
fig4_repairs_overlap,7,agents=4;dependency=0.1;metric=observed_repair_effort,In-place repair,0,d206503f1cf63d8e,observed_repair_effort,"{""observed_repair_effort"":{""ci95_high"":""840.9230855794452"",""ci95_low"":""616.9569144205549"",""mean"":""728.94"",""n"":""30""}}",5209b6b2f833ff958bc9320af9d577cef3453eb94ff185822028da80be7e5505,086034341ac0f852c2a6fcb69ec68e2113652b7c74c62a48ad7ff7f71f98ef48,summary_mean,nominal_overlap_probability,0.003435063819150432,728.94,616.9569144205549,840.9230855794452,--,s,log,log
