cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,mean_completed_repair_attempts,mean_failed_completed_repairs,pooled_failure_fraction_completed_repairs,fixed_clock_collision_exposure,first_order_failure_probability,mean_initial_conflicts,mean_dispatches,pooled_dispatches_per_initial_conflict,mean_unresolved_initial_conflicts_no_dependency,pooled_unresolved_initial_conflict_fraction_no_dependency,seed_mean_over_five_unresolved_fraction,window_divided_by_minimum_attempt_slot,maximum_completed_attempts_per_window,maximum_dispatches_per_window_no_dependency,unobserved_tail_mean_upper_bound
b79cfd601b272f19,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,16.366666666666667,0.0,0.0,0.25,0.0008583973208360372,16.366666666666667,16.366666666666667,1.0,0.0,0.0,0.0,37262.77202956225,37262,37263,not_identifiable_without_future_process_assumptions
1918b54e0001e096,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,119.26666666666667,26.466666666666665,0.22191168250419227,73.02885162023877,0.2218677374342486,93.8,120.26666666666667,1.2821606254442075,1.0,0.010660980810234541,0.0,127.56181701765756,127,128,not_identifiable_without_future_process_assumptions
f5bf7d8c90604b94,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,59.53333333333333,23.6,0.3964165733482643,145.80770324047754,0.3939899845806688,36.93333333333333,60.53333333333333,1.6389891696750905,1.0,0.027075812274368234,0.0,63.89026642869745,63,64,not_identifiable_without_future_process_assumptions
0c2612cd98ff5942,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,29.5,19.7,0.6677966101694915,291.3654064809551,0.6324363455552499,10.8,30.5,2.824074074074074,1.0,0.09259259259259259,0.01726190476190476,31.97254306852477,31,32,not_identifiable_without_future_process_assumptions
19659e37918c0f58,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,14.4,12.333333333333334,0.8564814814814815,582.4808129619101,0.8647808882079322,3.066666666666667,15.4,5.021739130434782,1.0000000000000004,0.32608695652173925,0.2833333333333333,15.993132821011459,15,16,not_identifiable_without_future_process_assumptions
8eddd17f1a28480b,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,6.833333333333333,6.766666666666667,0.9902439024390244,1164.7116259238203,0.9817000832066173,1.0666666666666667,7.833333333333333,7.34375,1.0000000000000002,0.9375000000000002,0.9666666666666667,7.998282836750759,7,8,not_identifiable_without_future_process_assumptions
dbbe9cb482dce9a7,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,16.366666666666667,0.0,0.0,,,16.366666666666667,16.366666666666667,1.0,0.0,0.0,0.0,37262.77202956225,37262,,not_identifiable_without_future_process_assumptions
353e2efd40b67376,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,dispatch,context,0.25,1.0,8,256,82.43333333333334,25.4,0.308127780024262,,,58.03333333333333,83.43333333333334,1.437679494543366,0.9999999999999929,0.01723147616312452,0.0,127.56181701765756,127,,not_identifiable_without_future_process_assumptions
b1765d4e54fc4147,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,dispatch,context,0.25,1.0,8,256,49.8,22.0,0.44176706827309237,,,28.8,50.8,1.7638888888888888,1.0000000000000036,0.03472222222222234,0.0015873015873015873,63.89026642869745,63,,not_identifiable_without_future_process_assumptions
8a8b4cd69abe3fb6,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,27.8,19.033333333333335,0.6846522781774581,,,9.8,28.8,2.9387755102040813,1.033333333333335,0.10544217687074846,0.014285714285714285,31.97254306852477,31,,not_identifiable_without_future_process_assumptions
75b22aca532a1c3f,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,14.266666666666667,12.566666666666666,0.880841121495327,,,2.7,15.266666666666667,5.654320987654321,0.9999999999999991,0.37037037037037,0.32222222222222224,15.993132821011459,15,,not_identifiable_without_future_process_assumptions
