cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,pooled_dispatches_per_initial_conflict,dispatches_n,dispatches_mean,dispatches_ci95_low,dispatches_ci95_high,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
b79cfd601b272f19,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,1.0,30,16.366666666666667,14.76775958783335,17.965573745499984,30,16.366666666666667,14.76775958783335,17.965573745499984,,,not_identifiable_from_aggregate_inputs
1918b54e0001e096,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,1.2821606254442075,30,120.26666666666667,117.73294599452373,122.8003873388096,30,93.8,91.52433450936053,96.07566549063947,,,not_identifiable_from_aggregate_inputs
f5bf7d8c90604b94,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,1.6389891696750905,30,60.53333333333333,59.266472997261864,61.8001936694048,30,36.93333333333333,35.22120278365054,38.64546388301612,,,not_identifiable_from_aggregate_inputs
0c2612cd98ff5942,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,2.824074074074074,30,30.5,29.871351385542155,31.128648614457845,30,10.8,9.777443546228657,11.822556453771345,,,not_identifiable_from_aggregate_inputs
19659e37918c0f58,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,5.021739130434782,30,15.4,15.094040194962066,15.705959805037935,30,3.066666666666667,2.5881020183636774,3.5452313149696564,,,not_identifiable_from_aggregate_inputs
8eddd17f1a28480b,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,dispatch,fixed,0.25,1.0,8,256,7.34375,30,7.833333333333333,7.697692382905558,7.968974283761108,30,1.0666666666666667,0.9359999999999999,1.1973333333333334,,,not_identifiable_from_aggregate_inputs
dbbe9cb482dce9a7,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,1.0,30,16.366666666666667,14.76775958783335,17.965573745499984,30,16.366666666666667,14.76775958783335,17.965573745499984,,,not_identifiable_from_aggregate_inputs
353e2efd40b67376,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,dispatch,context,0.25,1.0,8,256,1.437679494543366,30,83.43333333333334,81.95436173246719,84.91230493419948,30,58.03333333333333,56.69940957899972,59.36725708766694,,,not_identifiable_from_aggregate_inputs
b1765d4e54fc4147,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,dispatch,context,0.25,1.0,8,256,1.7638888888888888,30,50.8,49.83521232161277,51.76478767838722,30,28.8,27.49649117211742,30.10350882788258,,,not_identifiable_from_aggregate_inputs
8a8b4cd69abe3fb6,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,2.9387755102040813,30,28.8,28.18808038992413,29.41191961007587,30,9.8,8.931558881091243,10.668441118908758,,,not_identifiable_from_aggregate_inputs
