suite,cell_id,metric,runs_seen,runs_failed,n,mean,ci95_low,ci95_high,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file
sync_interval,b1d093ea6ba92a10,overlap_pairs_per_time,30,0,30,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,repair_effort_per_generated_edit,30,0,30,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,repair_failure_fraction,30,0,0,,,,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,sync_calls,30,0,30,2048,2048.0,2048.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,sync_requests,30,0,30,2048,2048.0,2048.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,unresolved_edits,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,unresolved_fraction,30,0,30,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,unresolved_over_threshold_fraction,30,0,0,,,,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,b1d093ea6ba92a10,unresolved_over_threshold_n,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,application_attempts,30,0,30,511.73333333333335,505.18406907820327,518.2825975884634,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,author_repair_completions,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,author_repair_starts,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,automatic_passes,30,0,30,2048,2048.0,2048.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,avoided_proposals,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,concurrent_overlap_pairs,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,conflict_cohort_n,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,dependency_rescues_without_repair,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,dispatches,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,early_conflict_cohort_n,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,early_unresolved_over_threshold_fraction,30,0,0,,,,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,failed_applications,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,failed_edits,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,failed_repair_completions,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,first_failures_per_generated_edit,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,first_failures_per_sync_call,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,first_failures_per_time,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,generated_edits,30,0,30,511.73333333333335,505.18406907820327,518.2825975884634,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,landed_edits,30,0,30,511.73333333333335,505.18406907820327,518.2825975884634,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,mean_first_failure_context_count,30,0,0,,,,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,mean_first_failure_overlap_lines,30,0,0,,,,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,mean_observed_latency,30,0,30,0.06205803784769231,0.06157342567964062,0.062542650015744,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,observed_repair_busy_time,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,observed_repair_effort,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,overlap_pairs_per_generated_edit,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,overlap_pairs_per_scheduled_interval,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,overlap_pairs_per_time,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,repair_effort_per_generated_edit,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,repair_failure_fraction,30,0,0,,,,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,sync_calls,30,0,30,2048,2048.0,2048.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,sync_requests,30,0,30,2048,2048.0,2048.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,unresolved_edits,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,unresolved_fraction,30,0,30,0.0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,unresolved_over_threshold_fraction,30,0,0,,,,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,9c592f37ebc7f840,unresolved_over_threshold_n,30,0,30,0,0.0,0.0,0,in_place,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.125,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,application_attempts,30,0,30,512,505.47297776085105,518.5270222391489,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,author_repair_completions,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
