suite,clean_first_cell,in_place_cell,metric,n,mean,ci95_low,ci95_high
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,early_conflict_cohort_n,30,0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,mean_observed_latency,30,0.0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,mean_first_failure_overlap_lines,4,0.0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,mean_first_failure_context_count,4,0.0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,repair_failure_fraction,4,0.0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,unresolved_over_threshold_fraction,4,0.0,0.0,0.0
sync_interval,6bb14b2d00c4760a,d8746eda17ef3abe,early_unresolved_over_threshold_fraction,2,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,generated_edits,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,landed_edits,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,unresolved_edits,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,failed_edits,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,concurrent_overlap_pairs,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,overlap_pairs_per_time,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,overlap_pairs_per_generated_edit,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,first_failures_per_time,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,first_failures_per_generated_edit,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,first_failures_per_sync_call,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,overlap_pairs_per_scheduled_interval,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,application_attempts,30,0.36666666666666664,0.19127499768580336,0.5420583356475299
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,failed_applications,30,0.36666666666666664,0.19127499768580336,0.5420583356475299
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,author_repair_starts,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,author_repair_completions,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,failed_repair_completions,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,dispatches,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,dependency_rescues_without_repair,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,avoided_proposals,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,sync_requests,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,sync_calls,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,automatic_passes,30,0.7333333333333333,0.3825499953716067,1.0841166712950598
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,observed_repair_busy_time,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,observed_repair_effort,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,repair_effort_per_generated_edit,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,unresolved_fraction,30,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,conflict_cohort_n,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,unresolved_over_threshold_n,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,early_conflict_cohort_n,30,0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,mean_observed_latency,30,-0.00014694923981325067,-0.00025114980466298825,-4.274867496351312e-05
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,mean_first_failure_overlap_lines,11,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,mean_first_failure_context_count,11,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,repair_failure_fraction,11,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,unresolved_over_threshold_fraction,11,0.0,0.0,0.0
sync_interval,38a767088ac2dcc4,1b9449a3295d0d2e,early_unresolved_over_threshold_fraction,7,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,generated_edits,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,landed_edits,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,unresolved_edits,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,failed_edits,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,concurrent_overlap_pairs,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,overlap_pairs_per_time,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,overlap_pairs_per_generated_edit,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,first_failures_per_time,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,first_failures_per_generated_edit,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,first_failures_per_sync_call,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,overlap_pairs_per_scheduled_interval,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,application_attempts,30,0.9,0.5697484066010752,1.2302515933989249
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,failed_applications,30,0.9,0.5697484066010752,1.2302515933989249
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,author_repair_starts,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,author_repair_completions,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,failed_repair_completions,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,dispatches,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,dependency_rescues_without_repair,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,avoided_proposals,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,sync_requests,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,sync_calls,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,automatic_passes,30,1.8,1.1394968132021503,2.4605031867978497
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,observed_repair_busy_time,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,observed_repair_effort,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,repair_effort_per_generated_edit,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,unresolved_fraction,30,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,conflict_cohort_n,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,unresolved_over_threshold_n,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,early_conflict_cohort_n,30,0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,mean_observed_latency,30,-0.0005899121535040926,-0.0009987504828749506,-0.00018107382413323477
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,mean_first_failure_overlap_lines,17,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,mean_first_failure_context_count,17,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,repair_failure_fraction,17,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,unresolved_over_threshold_fraction,17,0.0,0.0,0.0
sync_interval,6dc14a7b45256e3b,107cb34499bef5ac,early_unresolved_over_threshold_fraction,12,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,generated_edits,30,0,0.0,0.0
